Country,GDP,GDP Growth,Interest Rate,Inflation Rate,Jobless Rate,Gov. Budget,Debt/GDP,Current Account,Population
Montenegro,7,,,1.70,11.29,0.20,60.30,-11.40,0.62
Cayman Islands,7,,,1.70,3.30,-1.10,7.60,-7.70,0.08
Fiji,5,,0.25,1.30,4.20,-7.10,75.60,-8.60,0.94
Swaziland,5,,7.00,3.30,22.20,-1.70,18.91,2.37,1.19
Suriname,4,,10.00,9.70,8.00,-1.70,90.30,3.90,0.62
Sierra Leone,4,,24.75,15.41,3.20,-6.50,88.90,-8.00,8.79
Djibouti,4,,11.20,0.50,27.90,-0.50,45.00,18.00,1.14
Liberia,4,,17.50,6.15,2.90,-6.90,51.00,-10.70,5.42
Central African Republic,3,,5.00,1.70,6.30,-3.70,55.70,-8.50,5.74
Burundi,3,,12.00,24.90,0.90,-9.20,15.90,-8.20,13.24
Cape Verde,3,-2.50,1.50,1.60,10.30,-4.40,114.70,-5.80,0.59
Bhutan,3,,6.80,1.34,3.10,-7.80,123.45,-33.30,0.79
East Timor,2,,,-0.20,1.80,-4.00,,-42.90,1.36
Eritrea,2,,,6.40,5.90,-0.10,163.80,14.10,3.21
Gambia,2,,17.00,9.68,4.10,-3.50,80.80,-7.20,2.77
Guinea Bissau,2,,5.50,4.90,3.10,-7.30,41.10,-8.60,2.15
Lesotho,2,-0.61,7.50,4.40,16.30,-2.20,59.00,-6.70,2.33
Seychelles,2,,1.75,1.34,3.20,-1.30,60.00,-7.40,0.10
Sao Tome and Principe,1,,10.00,11.50,14.20,-7.20,105.00,-19.40,0.23
Comoros,1,,3.08,2.00,5.70,-4.30,28.40,-6.10,0.85
